TRINITY_DN11724_c0_g2_i1.p1,325,465
TRINITY_DN9362_c0_g1_i3.p1,166,297
TRINITY_DN12100_c0_g2_i3.p1,366,510
TRINITY_DN8171_c0_g1_i1.p1,266,399
TRINITY_DN8171_c0_g1_i2.p1,266,399
TRINITY_DN9431_c0_g2_i1.p1,282,409
TRINITY_DN12996_c0_g13_i1.p1,121,274
TRINITY_DN7702_c0_g2_i1.p1,246,406
TRINITY_DN13294_c0_g6_i4.p1,245,330
TRINITY_DN13294_c0_g6_i8.p1,245,330
TRINITY_DN13089_c1_g6_i1.p1,316,403
TRINITY_DN28617_c0_g1_i1.p1,247,391
TRINITY_DN7765_c0_g1_i1.p1,17,142
TRINITY_DN12100_c0_g2_i2.p1,431,575
TRINITY_DN2899_c0_g1_i1.p1,2,86
TRINITY_DN12069_c0_g1_i2.p1,264,397
TRINITY_DN9625_c1_g2_i1.p1,182,444
TRINITY_DN11724_c0_g4_i1.p1,138,277
TRINITY_DN13361_c0_g2_i5.p1,235,407
TRINITY_DN9625_c1_g2_i2.p1,194,456
TRINITY_DN12908_c0_g3_i1.p1,263,417
TRINITY_DN13349_c2_g1_i6.p1,281,401
TRINITY_DN13349_c2_g1_i1.p1,281,401
TRINITY_DN8708_c0_g1_i4.p1,252,412
TRINITY_DN8708_c0_g1_i3.p1,252,412
TRINITY_DN12014_c1_g1_i1.p1,262,444
TRINITY_DN13089_c1_g8_i2.p1,317,372
TRINITY_DN12908_c0_g1_i2.p1,11,162
TRINITY_DN32825_c0_g1_i1.p1,274,421
TRINITY_DN13349_c2_g1_i3.p1,7,99
TRINITY_DN13349_c2_g1_i4.p1,7,99
TRINITY_DN13349_c2_g1_i5.p1,7,99
TRINITY_DN13378_c1_g2_i2.p2,50,129
TRINITY_DN13378_c1_g2_i6.p2,50,129
TRINITY_DN12986_c1_g1_i4.p1,143,258
TRINITY_DN4748_c0_g1_i1.p1,2,97
TRINITY_DN13361_c0_g4_i1.p1,245,379
TRINITY_DN13349_c2_g13_i1.p1,278,450
TRINITY_DN34538_c0_g1_i1.p1,1,32
TRINITY_DN9362_c0_g2_i1.p1,266,400
TRINITY_DN12908_c0_g1_i11.p1,286,448
TRINITY_DN13196_c4_g6_i1.p1,295,443
TRINITY_DN9431_c0_g3_i1.p1,280,408
TRINITY_DN10076_c0_g1_i1.p1,273,392
TRINITY_DN12852_c0_g8_i1.p1,268,409
TRINITY_DN12568_c0_g1_i2.p1,280,445
TRINITY_DN12987_c2_g2_i1.p1,181,419
TRINITY_DN12795_c4_g1_i9.p1,195,337
TRINITY_DN12795_c4_g1_i10.p1,195,337
TRINITY_DN13089_c1_g9_i1.p1,314,400
TRINITY_DN13226_c0_g6_i1.p1,203,394
TRINITY_DN16842_c0_g1_i1.p1,253,433
TRINITY_DN11266_c0_g1_i1.p1,273,405
TRINITY_DN9431_c0_g1_i1.p1,294,417
TRINITY_DN13346_c0_g9_i1.p1,262,417
TRINITY_DN10791_c1_g2_i1.p1,284,400
TRINITY_DN13089_c1_g3_i2.p1,331,417
TRINITY_DN22935_c0_g1_i1.p1,1,115
TRINITY_DN12100_c0_g1_i3.p1,330,474
TRINITY_DN16783_c0_g1_i1.p1,268,398
TRINITY_DN2510_c0_g1_i1.p1,84,414
TRINITY_DN9362_c0_g1_i2.p1,258,389
TRINITY_DN11906_c7_g2_i1.p1,239,440
TRINITY_DN12908_c0_g1_i8.p1,20,187
TRINITY_DN21227_c0_g1_i1.p1,1,144
TRINITY_DN11724_c0_g4_i2.p1,94,232
TRINITY_DN13300_c1_g12_i2.p1,2,84
TRINITY_DN9625_c1_g3_i2.p1,293,448
TRINITY_DN13378_c1_g2_i9.p1,319,462
TRINITY_DN13361_c0_g2_i2.p1,214,420
TRINITY_DN12795_c4_g1_i16.p1,116,258
TRINITY_DN12795_c4_g1_i13.p1,116,258
TRINITY_DN12795_c4_g1_i12.p1,116,258
TRINITY_DN12809_c0_g3_i1.p1,252,390
TRINITY_DN12795_c4_g1_i4.p1,403,542
TRINITY_DN11203_c0_g1_i1.p1,257,396
TRINITY_DN13378_c1_g2_i1.p1,62,141
TRINITY_DN13361_c0_g2_i7.p1,265,438
TRINITY_DN13378_c1_g2_i5.p1,412,555
TRINITY_DN8708_c0_g1_i2.p1,252,412
TRINITY_DN8708_c0_g1_i1.p1,252,412
TRINITY_DN9625_c1_g3_i1.p1,293,445
TRINITY_DN13346_c0_g8_i1.p1,217,355
TRINITY_DN6695_c0_g1_i1.p1,246,393
TRINITY_DN12908_c0_g1_i6.p1,260,420
TRINITY_DN12852_c0_g9_i2.p1,89,227
TRINITY_DN2977_c0_g1_i2.p1,93,258
TRINITY_DN6945_c0_g1_i1.p1,61,131
TRINITY_DN3359_c0_g1_i1.p1,246,413
TRINITY_DN7109_c0_g1_i1.p1,254,389
TRINITY_DN12100_c0_g1_i1.p1,419,563
TRINITY_DN12795_c4_g1_i3.p1,327,466
TRINITY_DN12795_c4_g1_i1.p1,327,466
TRINITY_DN13361_c0_g2_i4.p1,264,437
TRINITY_DN13346_c0_g8_i2.p1,217,355
TRINITY_DN7765_c2_g1_i1.p1,283,406
TRINITY_DN12069_c0_g1_i1.p1,259,391
TRINITY_DN12809_c0_g1_i1.p1,247,389
TRINITY_DN13573_c9_g30_i1.p1,310,430
TRINITY_DN1505_c0_g1_i1.p1,275,384
TRINITY_DN1505_c0_g1_i2.p1,275,384
TRINITY_DN11542_c0_g1_i1.p1,203,419
TRINITY_DN12908_c0_g1_i7.p1,258,425
TRINITY_DN10791_c1_g1_i1.p1,281,442
TRINITY_DN12795_c4_g1_i22.p1,47,125
TRINITY_DN12795_c4_g1_i7.p1,47,125
TRINITY_DN20695_c0_g1_i1.p1,278,398
TRINITY_DN10601_c0_g1_i3.p1,254,405
TRINITY_DN10601_c0_g1_i4.p1,254,405
TRINITY_DN1791_c0_g1_i1.p1,2,71
TRINITY_DN9176_c0_g1_i1.p1,254,432
TRINITY_DN12987_c2_g1_i2.p1,262,382
TRINITY_DN13294_c0_g6_i2.p1,245,410
TRINITY_DN12808_c0_g1_i2.p1,98,244
TRINITY_DN11906_c7_g1_i1.p1,90,443
TRINITY_DN12852_c0_g9_i1.p1,269,406
TRINITY_DN12267_c0_g2_i1.p1,271,398
TRINITY_DN4321_c0_g1_i1.p1,256,416
TRINITY_DN8387_c0_g1_i1.p1,258,423
TRINITY_DN12100_c0_g2_i1.p1,392,536
TRINITY_DN30037_c0_g1_i1.p1,279,382
TRINITY_DN25148_c0_g1_i1.p1,266,414
TRINITY_DN29212_c0_g1_i1.p1,262,420
TRINITY_DN3359_c0_g1_i2.p1,86,253
TRINITY_DN6742_c0_g2_i1.p1,271,443
TRINITY_DN13361_c0_g2_i1.p1,214,422
TRINITY_DN11906_c7_g3_i1.p1,226,439
TRINITY_DN12071_c0_g1_i1.p1,231,398
TRINITY_DN4346_c0_g1_i1.p1,208,406
TRINITY_DN8387_c0_g1_i2.p1,81,246
TRINITY_DN53_c0_g1_i1.p1,272,438
TRINITY_DN12987_c2_g1_i1.p1,262,420
TRINITY_DN13089_c1_g3_i1.p1,331,417
TRINITY_DN5735_c0_g1_i1.p1,85,246
TRINITY_DN13161_c1_g9_i1.p1,271,437
TRINITY_DN13361_c0_g2_i6.p1,266,438
TRINITY_DN7115_c0_g1_i1.p1,270,403
TRINITY_DN12908_c0_g1_i10.p1,9,125
TRINITY_DN12568_c0_g1_i1.p1,280,441
TRINITY_DN12613_c0_g1_i1.p1,269,433
TRINITY_DN25770_c0_g1_i1.p1,278,443
TRINITY_DN6060_c0_g1_i1.p1,272,437
TRINITY_DN2977_c0_g1_i1.p1,254,421
TRINITY_DN8784_c1_g2_i1.p1,5,142
TRINITY_DN11906_c6_g5_i1.p1,260,399
TRINITY_DN12071_c0_g1_i3.p1,243,432
TRINITY_DN12014_c1_g2_i1.p1,260,442
TRINITY_DN12071_c0_g1_i2.p1,231,417
TRINITY_DN12808_c0_g1_i1.p1,279,424
TRINITY_DN13300_c1_g12_i1.p1,2,84
TRINITY_DN13361_c0_g2_i3.p1,265,386
TRINITY_DN26198_c0_g1_i1.p1,48,213
TRINITY_DN13346_c0_g6_i1.p1,260,405
TRINITY_DN4135_c0_g1_i1.p1,32,120
TRINITY_DN9362_c0_g1_i1.p1,267,399
TRINITY_DN9362_c0_g1_i4.p1,267,399
TRINITY_DN12986_c1_g1_i3.p1,271,386
TRINITY_DN11906_c6_g8_i1.p1,237,375
TRINITY_DN7160_c0_g1_i2.p1,206,418
